age;familysize;gender;married;race;religion;Q1A;Q2A;Q3A;Q4A;Q5A;Q6A;Q7A;Q8A;Q9A;Q10A
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1;1;0;0;1;1;0;0;0;0;0;0;0;0;1;1
2;1;0;0;2;1;0;1;0;0;1;0;0;1;0;0
3;2;0;0;3;1;0;0;1;0;0;0;0;2;1;1
4;2;0;0;4;1;0;0;1;0;2;0;0;3;1;2
5;2;0;0;2;1;1;0;0;0;2;0;0;2;2;0
6;1;0;0;1;0;1;0;0;0;3;0;1;3;3;2
7;0;0;0;2;1;0;2;0;0;3;0;0;0;0;2
8;1;0;0;1;1;0;2;0;0;3;0;1;2;4;2
9;0;0;0;2;1;1;3;0;0;4;0;0;1;4;3
2;1;0;0;0;0;0;3;0;0;2;0;0;1;2;0
10;0;0;0;3;0;0;4;0;0;2;0;0;0;1;2
11;2;0;0;0;0;0;4;1;0;2;0;0;0;0;0
11;2;0;0;2;0;0;4;1;0;3;0;1;0;2;4
8;0;0;0;1;0;1;3;0;0;3;0;0;1;2;2
12;2;0;0;2;0;1;4;0;0;2;0;0;0;4;0
10;1;0;0;0;1;1;4;0;0;2;0;0;1;0;0
13;0;0;0;0;2;1;4;0;0;2;0;1;4;0;4
8;0;0;0;5;1;0;3;1;0;2;0;0;3;0;0
11;3;0;0;2;0;0;4;0;0;2;0;0;2;0;1
1;2;0;0;0;1;0;4;1;0;2;0;0;2;2;4
3;0;0;0;0;1;0;4;1;0;2;0;0;2;4;0
2;1;0;0;0;0;1;3;0;0;3;0;0;2;0;0
14;0;0;0;4;1;1;3;0;0;2;0;0;2;2;0
15;2;0;0;0;2;1;3;0;0;2;0;0;3;4;4
6;3;0;0;0;0;1;4;0;0;2;0;0;2;0;0
3;2;0;0;0;1;1;4;0;0;2;0;0;3;3;0
8;0;0;0;2;0;1;4;0;0;2;0;0;2;0;0
4;2;0;0;0;0;1;4;0;0;3;0;0;2;4;0
11;0;0;0;1;0;1;4;0;0;2;0;0;3;0;0
10;2;0;0;0;0;1;4;1;0;2;0;0;3;4;2
1;2;0;0;2;0;1;4;1;0;2;0;0;2;3;2
16;2;0;0;3;0;1;2;0;0;4;0;0;4;4;0
9;1;0;0;1;1;1;2;2;0;4;0;0;1;2;1
6;2;0;0;2;0;1;3;2;0;2;0;1;3;0;0
12;2;0;0;1;3;1;4;2;0;2;0;0;2;4;3
17;2;0;0;0;0;0;0;3;0;3;0;0;0;1;1
8;2;0;0;0;1;1;0;4;0;3;0;0;0;1;1
2;2;0;0;0;0;1;1;3;0;2;0;1;3;3;2
8;2;0;0;2;1;0;2;4;0;4;0;1;0;4;3
18;2;0;0;2;0;1;3;3;0;3;0;0;0;1;0
15;1;0;0;0;0;1;3;4;0;1;0;0;3;3;4
