sex;age;race;marital-status;education;native-country;workclass;occupation;salary-class
0;39;0;0;0;0;0;0;0
0;50;0;1;0;0;1;1;0
0;38;0;2;1;0;2;2;0
0;53;1;1;2;0;2;2;0
1;28;1;1;0;1;2;3;0
1;37;0;1;3;0;2;1;0
1;49;1;3;4;2;2;4;0
0;52;0;1;1;0;1;1;1
1;31;0;0;3;0;2;3;1
0;42;0;1;0;0;2;1;1
0;37;1;1;5;0;2;1;1
0;30;2;1;0;3;0;3;1
1;23;0;0;0;0;2;0;0
0;32;1;0;6;0;2;5;0
0;34;3;1;7;4;2;6;0
0;25;0;0;1;0;1;7;0
0;32;0;0;1;0;2;8;0
0;38;0;1;2;0;2;5;0
1;43;0;2;3;0;1;1;1
0;40;0;1;8;0;2;3;1
1;54;1;4;1;0;2;4;0
0;35;1;1;4;0;3;7;0
0;43;0;1;2;0;2;6;0
1;59;0;2;1;0;2;9;0
0;56;0;1;0;0;4;9;1
0;19;0;0;1;0;2;10;0
0;39;0;2;1;0;2;1;0
0;49;0;1;1;0;2;10;0
0;23;0;0;6;0;4;11;0
0;20;1;0;5;0;2;5;0
0;45;0;2;0;0;2;1;0
0;30;0;1;5;0;3;0;0
0;22;1;1;5;0;0;4;0
0;48;0;0;2;5;2;8;0
0;21;0;0;5;0;2;8;0
1;19;0;5;1;0;2;0;0
0;48;0;1;6;0;1;3;0
0;31;0;1;4;0;2;8;0
0;53;0;1;0;0;1;3;0
0;24;0;1;0;0;2;9;0
1;49;0;4;1;0;2;0;0
0;25;0;0;1;0;2;2;0
0;57;1;1;0;0;3;3;1
0;53;0;1;1;0;2;8;0
1;44;0;2;3;0;2;1;0
0;41;0;1;9;0;0;10;0
0;29;0;0;9;0;2;3;0
1;25;4;1;5;0;2;1;0
1;47;0;1;10;6;2;3;1
0;50;0;2;0;0;3;1;1
0;47;0;2;1;0;5;1;0
0;43;0;1;5;0;2;9;1
0;46;0;1;11;4;2;8;0
0;35;0;1;9;5;2;4;0
0;41;0;1;1;0;2;0;0
0;30;0;1;1;0;2;8;0
0;30;0;1;0;0;2;5;0
0;48;0;1;1;0;2;6;0
0;42;0;1;8;0;2;3;1
0;29;0;2;5;0;2;9;0
0;36;0;1;1;0;2;10;0
1;28;0;2;5;0;2;0;0
1;53;0;1;1;0;2;0;1
0;49;0;1;5;0;5;1;1
0;19;0;0;5;0;2;3;0
1;31;1;4;0;0;2;5;0
0;29;0;1;0;0;1;5;1
0;23;0;0;5;0;2;8;0
0;79;0;1;5;0;2;3;0
0;27;0;0;1;4;2;4;0
0;40;0;1;6;0;2;0;0
1;18;0;0;2;0;2;4;0
0;31;0;1;7;0;4;7;0
0;18;0;0;1;0;2;5;0
0;52;0;1;0;1;2;4;0
1;46;0;1;1;0;2;4;0
0;59;0;1;1;0;2;5;0
1;44;0;2;1;0;2;10;1
1;53;0;2;1;0;2;5;0
0;49;0;1;1;0;4;11;1
0;33;0;1;3;0;2;3;0
0;30;0;0;4;0;2;5;0
1;43;0;0;8;0;3;3;1
0;57;0;1;9;0;2;3;0
1;37;0;2;5;0;2;10;0
1;28;1;2;5;0;2;8;0
0;34;0;1;0;0;4;11;1
0;29;0;0;5;0;4;2;0
0;48;0;1;8;0;1;3;1
0;37;0;1;5;0;2;5;1
1;48;0;2;6;7;2;1;0
0;32;1;0;1;0;3;4;0
0;76;0;1;3;0;2;1;1
0;44;0;1;0;0;2;1;1
1;47;0;0;3;0;1;3;0
1;20;0;0;5;0;2;9;0
0;29;0;0;1;0;2;10;0
0;32;0;1;1;0;5;10;1
0;30;0;0;2;0;2;2;0
1;31;0;0;1;0;4;0;0
0;42;0;1;1;0;2;2;0
0;24;0;0;0;0;2;5;0
0;38;0;1;10;0;2;3;1
0;56;0;1;1;8;1;4;1
1;28;0;1;5;0;2;5;0
1;36;0;0;1;0;2;8;0
0;53;0;1;4;0;2;2;0
0;56;0;1;5;0;5;5;0
0;49;1;1;9;0;4;10;1
0;55;0;1;5;0;2;5;0
0;22;0;0;1;0;2;10;0
1;21;0;0;5;0;2;4;0
0;40;0;1;0;0;2;1;0
0;30;1;0;0;9;2;1;0
0;29;0;1;0;0;0;3;1
0;19;1;0;5;0;2;4;0
1;47;0;1;0;0;2;1;1
1;20;0;0;5;0;2;0;0
0;31;0;1;6;0;2;0;1
0;39;0;2;5;0;2;10;0
1;28;0;0;6;0;2;5;0
1;24;0;0;1;0;2;4;0
0;38;0;1;1;0;1;10;0
0;37;0;1;0;0;2;5;0
1;46;1;2;6;0;2;9;0
0;38;0;1;3;10;3;3;1
0;43;0;1;1;0;1;10;0
1;27;0;1;9;0;2;0;0
0;20;0;0;5;0;2;5;0
0;49;2;1;5;0;2;10;1
0;61;0;1;1;0;5;10;0
1;27;0;0;5;0;2;5;0
0;19;0;0;5;4;2;4;0
1;45;0;0;9;0;2;3;1
0;70;0;0;5;0;2;9;0
1;31;1;0;1;0;2;6;0
0;22;0;1;5;0;2;4;0
1;36;0;6;1;0;2;4;0
0;64;0;1;2;0;2;10;0
1;47;0;2;5;4;4;0;0
1;34;0;0;1;0;2;0;0
1;33;2;0;0;11;2;1;0
0;21;0;0;1;0;2;10;0
0;48;0;1;1;0;2;10;0
0;23;0;0;0;0;2;2;0
0;71;1;4;5;0;1;5;0
0;29;0;2;1;0;2;10;0
0;42;1;4;0;0;2;4;0
1;25;0;0;1;0;2;4;0
1;44;2;2;3;0;5;1;0
1;28;2;0;1;7;2;1;0
0;45;0;1;3;0;1;5;1
1;36;0;2;5;4;2;4;0
0;39;0;0;6;0;3;1;0
0;46;0;6;3;0;0;11;0
0;18;0;0;2;0;2;2;0
1;66;0;6;9;0;4;3;0
0;27;0;0;1;0;2;4;0
0;28;0;1;1;0;0;11;0
0;51;0;1;5;0;2;5;1
0;27;0;0;0;0;2;10;0
0;28;0;1;0;0;0;3;1
1;27;0;3;1;0;2;5;0
0;21;1;0;1;0;2;10;0
0;34;1;0;1;0;2;2;0
0;18;0;0;1;0;2;4;0
0;33;0;1;0;0;2;3;0
0;44;1;1;5;0;4;1;1
1;43;0;2;5;0;2;0;0
0;30;1;0;5;0;2;10;0
0;40;0;1;7;4;2;8;1
0;37;0;1;5;0;3;0;1
0;34;1;1;1;0;2;0;0
1;41;0;2;0;0;1;1;0
1;31;0;1;3;0;2;3;0
0;58;0;1;8;0;0;3;1
1;38;1;2;5;0;2;8;0
0;24;0;1;5;0;2;8;0
0;41;1;1;0;0;4;10;0
0;47;0;1;5;0;2;9;0
0;41;0;1;0;0;3;9;0
0;23;0;1;11;4;2;6;0
0;36;0;2;5;0;2;10;0
1;40;0;0;3;0;3;1;1
0;35;0;1;3;0;2;3;1
0;24;0;0;1;0;1;5;0
1;26;0;0;3;0;2;3;0
0;51;0;1;0;0;2;1;1
1;42;0;0;5;0;4;3;0
1;37;0;2;1;0;0;0;0
1;18;0;0;2;0;2;5;0
0;36;1;1;0;0;2;4;1
0;35;0;2;1;0;2;10;0
1;58;0;1;1;0;5;5;1
1;17;0;0;2;0;2;5;0
0;44;1;1;1;0;4;6;0
0;37;0;1;1;0;2;10;1
1;35;3;0;5;0;2;5;0
0;60;2;1;1;0;2;10;0
0;54;0;1;7;0;5;8;1
0;37;1;0;0;0;2;1;1
1;50;0;2;6;0;2;5;0
0;38;0;1;0;12;2;5;0
0;45;0;1;0;0;2;3;0
0;25;0;0;12;0;2;10;0
0;31;0;1;5;0;2;2;0
0;90;1;0;1;0;2;4;0
0;54;1;1;1;0;2;0;0
1;53;0;0;13;0;4;8;0
1;18;0;0;1;0;2;5;0
0;66;0;1;1;0;1;7;0
1;75;0;6;9;13;2;0;0
1;65;0;2;1;0;2;0;0
0;35;1;4;2;0;2;6;0
1;41;1;2;1;0;2;5;0
0;25;0;0;5;0;2;0;0
1;33;4;2;5;0;2;10;0
0;28;0;0;10;0;2;3;1
0;59;0;1;1;0;0;4;0
1;40;0;0;5;0;0;0;0
0;41;0;1;0;10;2;1;1
0;38;0;1;3;0;4;1;1
0;23;0;0;1;0;2;6;0
0;40;0;1;0;0;2;3;1
1;41;0;1;1;0;1;4;0
0;24;0;1;6;0;0;11;0
0;38;0;2;5;0;2;10;0
0;58;0;1;1;0;2;0;1
1;32;0;0;1;0;2;4;0
0;40;0;1;6;0;2;9;1
1;41;0;1;10;0;2;3;1
1;42;1;1;0;0;2;0;0
1;59;1;6;12;0;4;4;0
0;19;0;0;5;0;4;0;0
0;58;0;0;5;0;2;6;0
0;42;2;1;1;14;1;7;1
1;20;0;0;1;0;2;4;0
1;32;0;4;1;0;2;4;0
1;45;0;6;9;0;2;1;0
0;50;0;2;7;0;2;10;0
1;36;0;2;0;0;2;3;0
0;45;0;1;1;0;2;5;0
0;17;0;0;2;0;2;4;0
0;59;0;1;5;0;2;5;0
0;26;0;1;2;0;2;10;0
0;37;2;1;5;15;5;1;1
0;64;0;1;1;0;2;1;1
1;33;0;0;0;0;2;3;0
1;33;0;1;1;0;2;10;1
0;61;0;1;1;0;2;1;1
0;17;0;0;4;0;2;4;0
0;50;0;1;3;0;1;7;0
0;27;0;0;3;0;4;3;0
1;30;0;2;1;0;2;3;0
0;43;1;1;1;0;2;2;0
0;44;0;1;5;0;2;10;1
1;35;0;0;5;0;2;1;0
1;25;0;0;5;0;2;9;0
1;24;0;1;5;0;2;8;1
1;22;0;0;0;9;2;3;0
0;42;0;1;5;0;4;10;1
1;34;1;2;6;0;2;5;0
1;60;0;2;0;0;2;3;0
0;21;0;0;1;0;2;2;0
0;57;0;1;3;0;3;5;1
0;41;0;1;10;0;2;3;1
0;50;0;2;5;0;2;4;0
