ZIP;AGE;GENDER;INCOME;STATE;RAMNTALL;NGIFTALL;MINRAMNT
91326;46;0;6000;0;47;3;10
95953;70;1;1000;0;109;16;2
33176;78;1;3000;1;254;37;3
46755;38;1;4000;2;107;14;3
46220;75;0;1000;2;25;2;10
56475;72;1;4000;3;48;9;4
84720;70;0;4000;4;74;7;5
48067;44;0;1000;5;37;3;10
62376;46;1;7000;6;100;4;15
32810;62;1;4000;1;81;10;5
55125;62;1;3000;3;61;15;2
49247;82;0;2000;5;25;1;25
55044;46;1;7000;3;36;4;5
93527;54;0;7000;0;107;6;10
60091;42;1;7000;6;50;1;50
64468;84;0;7000;7;71;8;3
77381;49;1;7000;8;102;12;5
62249;38;1;4000;6;57;7;5
63031;72;0;1000;7;40;2;20
27106;84;1;4000;9;40;2;15
33143;69;1;4000;1;220;13;5
78748;69;0;4000;8;25;1;25
90274;88;1;5000;0;291;18;5
55112;75;1;6000;3;96;8;10
55066;84;1;3000;3;94;10;3
98006;30;0;7000;10;30;2;10
33332;44;0;7000;1;68;4;10
53221;51;1;5000;11;338;29;5
52402;66;1;5000;12;102;21;3
36322;72;1;4000;13;123;16;3
46350;88;0;3000;2;91;8;5
75606;68;0;4000;8;42;2;20
61273;83;1;3000;6;216;22;5
27703;45;1;4000;9;102;7;5
27105;44;1;6000;9;117;11;5
33056;61;1;6000;1;125;12;1
62959;40;0;2000;6;49;5;3
36005;62;1;3000;13;40;3;10
46987;48;1;5000;2;35;4;5
77515;34;0;4000;8;23;1;23
31322;80;1;5000;14;15;1;15
76028;36;1;4000;8;55;7;3
31816;50;0;7000;14;20;1;20
28105;41;1;4000;9;35;6;3
34231;80;0;3000;1;175;11;3
47635;84;0;2000;2;100;6;10
95966;84;1;2000;0;98;28;1
29020;72;2;4000;15;307;16;10
92163;80;0;4000;0;130;21;2
48302;54;1;7000;5;153;14;5
60406;72;0;1000;6;103;11;3
92625;69;1;6000;0;132;12;5
33319;62;1;3000;1;128;16;3
53562;47;0;5000;11;80;4;9
75082;54;1;7000;8;35;4;5
57783;66;0;4000;16;15;1;15
30738;33;1;5000;14;35;3;10
42001;63;0;3000;17;73;4;10
33433;64;1;7000;1;50;1;50
79602;59;1;3000;8;198;11;5
28644;78;1;5000;9;127;13;5
40214;77;0;1000;17;31;7;3
30032;73;0;1000;14;94;10;5
97470;87;0;2000;18;116;18;3
85365;50;1;3000;19;74;7;5
34239;89;1;5000;1;125;20;3
33736;83;1;2000;1;275;21;5
90220;68;1;1000;0;296;20;5
29374;59;0;3000;15;127;13;5
75043;78;1;1000;8;82;6;5
32073;59;0;5000;1;680;18;10
92545;77;0;6000;0;120;5;15
79762;86;3;5000;8;181;21;5
76252;46;0;6000;8;47;3;5
28379;52;1;5000;9;15;1;15
94901;51;0;7000;0;206;11;3
89014;61;1;4000;20;27;3;5
36608;50;0;6000;13;25;1;25
70711;68;0;4000;21;294;18;5
73159;66;1;4000;22;25;3;5
77079;76;0;7000;8;1367;33;20
99508;69;1;4000;23;44;4;10
65473;26;0;3000;7;57;6;5
34691;76;0;3000;1;30;2;15
92056;83;0;4000;0;158;21;3
32174;58;1;3000;1;35;3;10
55411;61;1;5000;3;80;11;3
70122;71;0;2000;21;32;5;5
67218;54;1;3000;24;25;1;25
34748;73;1;2000;1;61;5;5
60646;86;1;5000;6;146;13;5
85284;39;1;7000;19;204;14;5
60463;80;1;7000;6;94;4;15
61554;48;1;4000;6;50;4;5
91030;73;1;1000;0;53;5;5
49445;82;0;7000;5;73;7;5
61008;44;1;1000;6;175;4;23
78748;75;0;4000;8;136;9;5
48455;33;0;6000;5;48;3;10
99709;40;1;7000;23;240;15;10
98292;83;0;3000;10;177;25;5
60625;92;1;5000;6;87;9;5
34208;73;1;2000;1;268;23;1
48310;68;1;1000;5;105;7;5
65233;42;1;7000;7;77;5;10
95628;68;0;6000;0;102;2;50
32176;81;1;2000;1;37;7;3
97071;50;1;4000;18;30;2;10
78040;56;1;2000;8;86;11;3
77028;40;1;5000;8;101;6;5
72761;79;0;2000;25;245;10;10
88001;37;0;4000;26;236;19;3
36915;60;0;2000;13;133;16;3
95926;67;1;5000;0;47;3;5
37217;68;0;6000;27;376;36;5
73505;72;0;1000;22;87;12;4
59801;68;0;2000;28;82;19;1
32801;88;1;1000;1;160;19;3
31206;70;0;4000;14;25;2;10
48911;42;1;7000;5;37;3;10
32789;45;1;5000;1;41;9;3
41018;42;1;4000;17;25;1;25
75065;48;1;2000;8;270;17;10
94514;46;1;6000;0;127;4;25
49028;76;0;1000;5;79;9;5
90044;48;1;1000;0;23;1;23
98198;44;1;7000;10;56;4;5
38930;76;1;2000;29;30;2;10
27948;45;1;4000;9;40;6;3
92117;86;1;5000;0;225;3;25
94131;50;1;7000;0;26;2;6
80915;76;0;4000;30;25;1;25
28560;68;1;2000;9;61;12;3
92592;39;1;5000;0;42;4;5
75232;74;1;5000;8;30;2;10
32776;34;1;5000;1;20;2;5
30506;30;0;4000;14;25;1;25
48235;58;1;7000;5;75;13;5
70001;49;0;1000;21;190;29;2
98205;64;0;7000;10;35;4;5
30542;34;0;6000;14;32;3;10
48446;85;1;1000;5;134;30;1
98513;48;0;6000;10;35;3;5
92020;78;1;6000;0;237;12;5
33838;82;0;2000;1;153;9;5
98902;41;0;4000;10;78;8;5
77573;64;0;7000;8;133;9;5
93550;46;0;4000;0;50;4;10
87107;58;0;7000;26;60;5;5
95136;41;0;6000;0;106;8;5
92256;53;1;5000;0;47;4;5
33308;85;0;1000;1;249;26;5
27406;74;0;1000;9;41;3;10
32541;69;0;4000;1;40;5;5
93311;38;1;4000;0;73;6;5
94536;36;1;6000;0;30;2;10
62901;60;1;7000;6;104;17;3
90302;50;0;6000;0;15;1;15
59454;78;0;4000;28;175;14;5
33827;62;1;1000;1;158;15;5
34243;75;0;6000;1;203;10;10
78240;70;1;7000;8;92;6;10
30084;74;1;5000;14;115;12;3
33066;78;1;1000;1;97;13;5
90802;53;1;3000;0;29;4;5
27514;74;1;7000;9;75;5;5
55106;82;1;5000;3;138;16;5
95123;78;0;5000;0;72;10;3
63301;49;0;7000;7;220;12;10
53142;74;1;3000;11;91;10;3
63126;67;0;3000;7;289;33;3
75158;34;1;3000;8;143;12;5
34990;50;1;5000;1;15;1;15
95212;67;0;6000;0;97;7;10
92683;74;0;6000;0;82;8;5
74501;76;1;3000;22;68;8;5
92679;58;0;7000;0;140;7;5
90638;78;0;4000;0;35;5;5
97801;50;0;1000;18;158;15;5
33055;36;0;2000;1;73;9;3
62056;45;1;5000;6;133;15;3
85326;64;1;2000;19;132;11;10
34608;82;1;2000;1;83;6;10
75019;46;0;6000;8;331;16;5
71483;48;1;4000;21;20;1;20
49120;46;0;5000;5;156;9;10
73036;66;0;2000;22;29;7;3
47441;88;1;2000;2;286;17;10
30047;55;0;6000;14;117;9;10
55117;84;0;2000;3;74;9;5
30260;56;1;5000;14;92;6;10
49601;62;0;5000;5;152;18;3
54162;51;0;2000;11;129;18;3
35773;46;1;7000;13;415;34;5
49228;72;0;3000;5;22;3;5
49707;48;0;7000;5;162;12;3
30033;75;0;5000;14;148;14;5
79936;81;0;5000;8;217;51;2
64080;94;0;2000;7;104;14;3
60014;68;3;7000;6;83;7;5
30060;52;1;5000;14;56;4;10
28056;39;0;7000;9;105;3;20
77536;55;1;5000;8;75;2;25
61744;87;1;2000;6;199;14;5
93705;82;1;2000;0;15;1;15
66061;52;1;7000;24;20;1;20
70506;55;0;5000;21;75;15;5
94526;70;1;6000;0;18;2;3
48214;74;1;1000;5;177;13;5
27536;56;1;3000;9;30;2;10
94044;70;0;1000;0;37;3;10
85208;72;0;5000;19;126;10;10
53212;58;1;1000;11;24;3;2
30044;53;4;5000;14;272;15;5
60477;52;0;7000;6;25;1;25
28025;58;1;4000;9;117;8;10
95949;63;1;4000;0;65;4;10
39530;73;0;5000;29;300;16;5
75208;54;1;1000;8;153;16;2
87110;40;1;3000;26;108;13;3
86442;84;1;5000;19;52;4;10
27704;67;1;1000;9;77;9;5
54911;59;1;3000;11;51;5;6
48054;93;1;2000;5;107;7;10
91786;55;1;7000;0;20;1;20
79109;65;0;3000;8;25;2;5
61821;70;1;5000;6;35;3;5
33844;81;0;4000;1;199;18;3
27263;49;0;5000;9;182;20;5
75006;50;1;6000;8;75;2;25
53910;46;1;5000;11;51;4;5
48035;60;0;5000;5;20;1;20
98125;57;0;3000;10;44;4;5
76012;79;0;2000;8;115;12;5
96744;72;0;3000;31;51;4;10
79606;46;0;7000;8;60;3;20
48433;82;1;1000;5;194;16;5
49442;83;0;2000;5;63;7;5
60172;40;0;5000;6;25;1;25
95661;69;0;7000;0;115;13;5
75672;83;1;2000;8;107;14;5
27587;42;0;7000;9;87;6;5
53154;51;1;4000;11;139;10;5
38501;44;0;4000;27;20;1;20
95820;54;1;3000;0;169;11;10
33703;46;1;4000;1;48;10;3
38901;38;1;4000;29;55;10;3
96745;80;1;7000;31;181;12;5
37379;54;1;5000;27;49;6;5
60631;86;0;1000;6;113;16;5
62002;48;0;4000;6;175;6;25
98360;46;1;3000;10;178;21;3
94040;75;0;5000;0;20;2;5
60443;42;0;5000;6;25;1;25
38401;44;1;4000;27;134;8;10
37087;52;0;6000;27;93;10;7
27215;67;1;5000;9;66;19;1
53550;46;0;2000;11;64;5;10
48230;42;1;6000;5;114;11;5
95376;54;0;7000;0;122;7;5
48161;84;0;3000;5;42;15;1
92543;82;0;4000;0;119;11;5
34481;73;0;1000;1;136;10;3
92625;66;0;4000;0;15;1;15
60617;46;1;3000;6;25;2;10
37643;68;0;1000;27;173;11;5
