iage;irace;ideathmon;ideathday;isex;ihispanic;istatenum;iinjury
48;0;0;0;0;0;0;0
42;1;1;8;0;1;0;1
19;1;1;9;0;1;0;1
39;1;1;9;1;1;0;1
17;2;1;1;0;1;0;1
46;1;1;10;0;1;0;1
22;0;0;0;0;0;0;0
21;0;0;0;1;0;0;0
21;3;1;1;0;2;0;1
26;1;1;1;0;1;0;1
68;1;1;11;0;1;0;1
34;0;0;0;0;0;0;2
37;0;0;0;0;0;0;0
20;3;1;1;1;2;0;1
16;0;0;0;0;0;0;0
15;1;1;1;1;1;0;1
17;0;0;0;1;0;0;0
36;2;1;26;0;1;0;1
25;1;1;1;1;3;0;1
65;0;0;0;0;0;0;2
27;0;0;0;1;0;0;0
40;3;1;1;0;2;0;1
37;0;0;0;0;0;0;0
8;0;0;0;0;0;0;0
83;1;1;1;0;1;0;1
82;0;0;0;1;0;0;0
85;0;0;0;0;0;0;0
80;0;0;0;1;0;0;0
35;0;0;0;0;0;0;2
34;0;0;0;1;0;0;0
11;0;0;0;1;0;0;0
14;0;0;0;1;0;0;0
14;0;0;0;1;0;0;0
14;0;0;0;1;0;0;0
33;1;1;11;1;1;0;1
63;1;1;11;0;1;0;1
23;0;0;0;0;0;0;3
49;1;1;12;0;1;0;1
42;0;0;0;0;0;0;3
37;1;1;4;1;1;0;1
50;2;1;4;0;1;0;1
24;0;0;0;0;0;0;0
69;0;0;0;0;0;0;2
49;1;1;2;0;1;0;1
34;2;1;12;0;1;0;1
32;0;0;0;0;0;0;0
21;1;1;4;0;1;0;1
24;1;1;7;0;1;0;1
60;0;0;0;1;0;0;0
85;1;1;7;1;1;0;1
55;0;0;0;0;0;0;4
57;0;0;0;1;0;0;0
33;0;0;0;1;0;0;0
99;0;0;0;2;0;0;2
37;2;1;7;0;1;0;1
41;0;0;0;1;0;0;0
13;0;0;0;0;0;0;0
61;2;1;7;0;1;0;1
63;2;1;7;0;1;0;1
47;0;0;0;0;0;0;0
45;0;0;0;0;0;0;2
49;0;0;0;1;0;0;0
99;0;0;0;2;0;0;2
46;1;1;14;1;1;0;1
16;0;0;0;1;0;0;0
27;2;1;28;1;1;0;1
33;2;1;28;0;1;0;1
3;0;0;0;0;0;0;0
22;1;1;28;0;4;0;1
30;0;0;0;0;0;0;0
19;0;0;0;0;0;0;0
23;0;0;0;1;0;0;0
28;0;0;0;0;0;0;0
26;0;0;0;1;0;0;0
2;0;0;0;0;0;0;0
39;1;1;29;1;1;0;1
17;1;1;29;0;1;0;1
12;3;1;30;0;2;0;1
99;0;0;0;2;0;0;2
46;1;2;9;0;1;0;1
25;1;2;2;0;1;0;1
45;1;2;3;1;1;0;1
21;2;1;15;0;1;0;1
24;2;1;15;0;1;0;1
23;2;1;15;0;1;0;1
53;1;1;16;0;1;0;1
60;2;1;17;0;1;0;1
22;0;0;0;1;0;0;3
61;1;2;2;0;1;0;1
31;1;2;5;0;1;0;1
22;0;0;0;0;0;0;0
46;1;1;18;0;1;0;1
69;0;0;0;0;0;0;0
73;1;2;5;0;1;0;1
43;1;2;6;1;1;0;1
19;0;0;0;1;0;0;2
21;0;0;0;0;0;0;0
99;0;0;0;2;0;0;2
99;0;0;0;2;0;0;2
36;3;2;6;0;2;0;1
53;0;0;0;0;0;0;4
81;0;0;0;1;0;0;4
80;1;1;18;0;1;0;1
84;2;2;8;0;1;0;1
59;0;0;0;1;0;0;0
31;0;0;0;1;0;0;0
45;2;1;19;1;1;0;1
36;0;0;0;1;0;0;2
25;1;1;24;0;1;0;1
19;0;0;0;0;0;0;0
17;3;2;25;1;2;0;1
25;0;0;0;0;0;0;3
25;1;3;22;0;1;0;1
35;0;0;0;0;0;0;2
99;0;0;0;2;0;0;2
22;1;1;29;1;1;0;1
24;0;0;0;0;0;0;0
48;1;2;10;0;1;0;1
58;0;0;0;0;0;0;3
40;2;2;9;0;1;0;1
35;1;2;9;0;1;0;1
23;0;0;0;0;0;0;0
26;4;1;1;0;4;0;1
31;4;1;1;0;5;0;1
44;0;0;0;0;0;0;0
49;0;0;0;0;0;0;0
34;0;0;0;1;0;0;0
11;0;0;0;0;0;0;0
20;1;2;6;1;1;0;1
17;0;0;0;1;0;0;0
16;0;0;0;1;0;0;0
47;0;0;0;0;0;0;2
99;0;0;0;2;0;0;2
99;0;0;0;2;0;0;2
55;0;0;0;1;0;0;4
34;1;2;11;0;1;0;1
25;1;1;20;0;1;0;1
50;0;0;0;1;0;0;2
32;0;0;0;0;0;0;2
49;1;1;8;0;1;0;1
32;1;1;21;0;1;0;1
65;0;0;0;0;0;0;0
66;0;0;0;1;0;0;0
32;2;1;22;0;1;0;1
47;0;0;0;0;0;0;0
51;1;1;22;1;1;0;1
19;0;0;0;1;0;0;0
45;1;1;22;0;1;0;1
35;1;1;22;0;1;0;1
42;1;1;22;0;1;0;1
43;0;0;0;0;0;0;2
53;1;1;22;0;1;0;1
43;1;1;23;0;1;0;1
26;0;0;0;1;0;0;0
29;0;0;0;1;0;0;2
25;0;0;0;0;0;0;2
65;3;1;4;0;2;0;1
99;0;0;0;2;0;0;2
99;0;0;0;2;0;0;2
19;2;1;24;1;1;0;1
33;0;0;0;0;0;0;0
28;3;1;17;0;2;0;1
78;1;1;5;0;1;0;1
66;0;0;0;1;0;0;0
34;0;0;0;0;0;0;3
26;1;1;24;0;1;0;1
25;1;1;24;1;1;0;1
23;0;0;0;0;0;0;0
40;2;1;9;0;1;0;1
54;2;1;11;0;1;0;1
28;0;0;0;0;0;0;2
39;2;1;24;1;1;0;1
49;0;0;0;0;0;0;0
30;0;0;0;1;0;0;0
81;1;1;18;1;1;0;1
84;0;0;0;0;0;0;2
73;1;1;19;0;1;0;1
35;0;0;0;0;0;0;0
18;0;0;0;0;0;0;2
48;0;0;0;1;0;0;0
49;0;0;0;0;0;0;2
18;1;1;21;0;1;0;1
17;1;1;21;1;1;0;1
53;0;0;0;0;0;0;3
19;2;1;24;0;1;0;1
99;0;0;0;2;0;0;2
24;1;1;24;0;1;0;1
40;0;0;0;0;0;0;2
29;3;1;22;0;2;0;1
24;0;0;0;0;0;0;0
99;0;0;0;2;0;0;2
27;1;1;22;0;1;0;1
36;1;1;24;0;1;0;1
53;0;0;0;1;0;0;2
40;0;0;0;0;0;0;0
46;1;1;24;0;1;0;1
77;0;0;0;0;0;0;2
53;0;0;0;0;0;0;2
30;2;2;2;0;1;0;1
27;0;0;0;0;0;0;0
35;0;0;0;0;0;0;0
17;1;2;5;1;1;0;1
58;0;0;0;0;0;0;0
99;0;0;0;2;0;0;2
99;0;0;0;2;0;0;2
25;2;2;5;0;1;0;1
39;0;0;0;0;0;0;0
29;1;2;6;0;1;0;1
30;0;0;0;1;0;0;0
18;1;2;6;1;1;0;1
74;2;2;8;0;1;0;1
63;0;0;0;1;0;0;2
18;1;2;16;0;1;0;1
26;0;0;0;0;0;0;0
30;0;0;0;0;0;0;0
65;2;2;9;1;1;0;1
27;2;2;9;0;1;0;1
57;0;0;0;0;0;0;0
23;1;2;12;0;1;0;1
26;1;1;25;1;1;0;1
65;0;0;0;0;0;0;0
40;1;2;11;0;1;0;1
24;1;2;11;1;1;0;1
45;0;0;0;0;0;0;2
42;0;0;0;0;0;0;2
52;0;0;0;1;0;0;3
55;1;2;12;0;1;0;1
56;0;0;0;1;0;0;0
14;0;0;0;1;0;0;0
20;1;2;13;0;1;0;1
64;0;0;0;0;0;0;3
63;1;2;28;0;1;0;1
61;2;2;27;1;1;0;1
16;0;0;0;0;0;0;0
21;2;1;25;1;1;0;1
20;2;1;25;1;1;0;1
78;1;2;14;0;1;0;1
34;1;2;14;0;1;0;1
39;0;0;0;0;0;0;2
45;1;2;18;1;1;0;1
48;0;0;0;0;0;0;2
62;0;0;0;0;0;0;2
56;1;2;16;0;1;0;1
43;1;2;23;0;1;0;1
27;0;0;0;1;0;0;0
24;1;2;23;0;1;0;1
77;0;0;0;1;0;0;2
31;0;0;0;0;0;0;2
24;0;0;0;0;0;0;0
99;0;0;0;2;0;0;2
41;4;2;24;0;5;0;1
16;1;2;25;0;1;0;1
17;1;2;25;1;1;0;1
54;1;2;25;1;1;0;1
15;0;0;0;0;0;0;0
49;2;2;25;0;1;0;1
24;0;0;0;0;0;0;2
99;0;0;0;2;0;0;2
55;0;0;0;0;0;0;2
44;0;0;0;1;0;0;2
99;0;0;0;2;0;0;2
45;2;2;28;1;1;0;1
58;0;0;0;0;0;0;2
26;1;2;24;0;1;0;1
22;0;0;0;0;0;0;2
44;1;2;21;0;1;0;1
99;0;0;0;2;0;0;2
27;0;0;0;0;0;0;2
99;0;0;0;2;0;0;2
43;5;2;21;0;1;0;1
21;0;0;0;1;0;0;0
2;2;2;20;0;1;0;1
16;1;2;19;0;1;0;1
61;1;3;2;1;1;0;1
60;1;3;2;1;1;0;1
82;2;3;4;0;1;0;1
56;0;0;0;1;0;0;2
36;0;0;0;0;0;0;2
17;1;3;3;1;1;0;1
26;1;3;3;1;3;0;1
2;0;0;0;0;0;0;0
