algorithm;dataset;k;qids;iterations;eliteFraction;crossoverFraction;mutationProbability;timeLimit;stepLimit;limitByOptimalLoss;batchNumber;time;externalUtility;
BEST_EFFORT_BOTTOM_UP;CREDITCARD;5;0;2147483647;0.2;0.4;0.05;5000;2147483647;false;1;10266;0.013746759004372944;
BEST_EFFORT_BOTTOM_UP;CREDITCARD;5;0;2147483647;0.2;0.4;0.05;10000;2147483647;false;1;20240;0.013746759004372944;
BEST_EFFORT_BOTTOM_UP;CREDITCARD;5;0;2147483647;0.2;0.4;0.05;20000;2147483647;false;1;280883;0.23951371358251916;
BEST_EFFORT_BOTTOM_UP;MACH2019;5;0;2147483647;0.2;0.4;0.05;5000;2147483647;false;1;6454;0.010722659401265933;
BEST_EFFORT_BOTTOM_UP;MACH2019;5;0;2147483647;0.2;0.4;0.05;10000;2147483647;false;1;672260;0.6266691358056126;
BEST_EFFORT_BOTTOM_UP;MACH2019;5;0;2147483647;0.2;0.4;0.05;20000;2147483647;false;1;1422423;0.6318817757959003;
BEST_EFFORT_BOTTOM_UP;SS13ACS;5;0;2147483647;0.2;0.4;0.05;5000;2147483647;false;1;29769;0.3284045528992229;
BEST_EFFORT_BOTTOM_UP;SS13ACS;5;0;2147483647;0.2;0.4;0.05;10000;2147483647;false;1;81306;0.3972491990838435;
BEST_EFFORT_BOTTOM_UP;SS13ACS;5;0;2147483647;0.2;0.4;0.05;20000;2147483647;false;1;967781;0.8707836880125965;
BEST_EFFORT_BOTTOM_UP;CREDITCARD;5;0;2147483647;0.2;0.4;0.05;5000;2147483647;false;2;10242;0.013746759004372944;
BEST_EFFORT_BOTTOM_UP;CREDITCARD;5;0;2147483647;0.2;0.4;0.05;10000;2147483647;false;2;20248;0.013746759004372944;
BEST_EFFORT_BOTTOM_UP;CREDITCARD;5;0;2147483647;0.2;0.4;0.05;20000;2147483647;false;2;280861;0.23951371358251916;
BEST_EFFORT_BOTTOM_UP;MACH2019;5;0;2147483647;0.2;0.4;0.05;5000;2147483647;false;2;6456;0.010722659401265933;
BEST_EFFORT_BOTTOM_UP;MACH2019;5;0;2147483647;0.2;0.4;0.05;10000;2147483647;false;2;682197;0.6267507227197802;
BEST_EFFORT_BOTTOM_UP;MACH2019;5;0;2147483647;0.2;0.4;0.05;20000;2147483647;false;2;1422466;0.6318817757959003;
BEST_EFFORT_BOTTOM_UP;SS13ACS;5;0;2147483647;0.2;0.4;0.05;5000;2147483647;false;2;29865;0.3284045528992229;
BEST_EFFORT_BOTTOM_UP;SS13ACS;5;0;2147483647;0.2;0.4;0.05;10000;2147483647;false;2;81886;0.3972491990838435;
BEST_EFFORT_BOTTOM_UP;SS13ACS;5;0;2147483647;0.2;0.4;0.05;20000;2147483647;false;2;967893;0.8707836880125965;
BEST_EFFORT_BOTTOM_UP;CREDITCARD;5;0;2147483647;0.2;0.4;0.05;5000;2147483647;false;3;10256;0.013746759004372944;
BEST_EFFORT_BOTTOM_UP;CREDITCARD;5;0;2147483647;0.2;0.4;0.05;10000;2147483647;false;3;20262;0.013746759004372944;
BEST_EFFORT_BOTTOM_UP;CREDITCARD;5;0;2147483647;0.2;0.4;0.05;20000;2147483647;false;3;280794;0.23951371358251916;
