algorithm;dataset;privacyModel;k;qids;weighted;iterations;eliteFraction;crossoverFraction;productionFraction;mutationProbability;immigrationFraction;immigrationInterval;subpopulationSize;trianglePattern;dualPopulation;timeLimit;stepLimit;limitByOptimalLoss;batchNumber;time;externalUtility;internalUtility;tuningParameter;gaImplementation
BEST_EFFORT_GENETIC;ADULT;K_ANONYMITY;5;0;false;2147483647;0.2;0.4;0.8;0.05;0.2;10;100;true;true;300000;2147483647;true;1;472;0.729621238;0;gaImplementation;0
BEST_EFFORT_GENETIC;ATUS;K_ANONYMITY;5;0;false;2147483647;0.2;0.4;0.8;0.05;0.2;10;100;true;true;300000;2147483647;true;1;6432;0.900049031;0;gaImplementation;0
BEST_EFFORT_GENETIC;IHIS;K_ANONYMITY;5;0;false;2147483647;0.2;0.4;0.8;0.05;0.2;10;100;true;true;300000;2147483647;true;1;13837;0.820966056;0;gaImplementation;0
BEST_EFFORT_GENETIC;ADULT;K_ANONYMITY;5;0;false;2147483647;0.2;0.4;0.8;0.05;0.2;10;100;true;true;300000;2147483647;true;2;246;0.729621238;0;gaImplementation;0
BEST_EFFORT_GENETIC;ATUS;K_ANONYMITY;5;0;false;2147483647;0.2;0.4;0.8;0.05;0.2;10;100;true;true;300000;2147483647;true;2;7418;0.900049031;0;gaImplementation;0
BEST_EFFORT_GENETIC;IHIS;K_ANONYMITY;5;0;false;2147483647;0.2;0.4;0.8;0.05;0.2;10;100;true;true;300000;2147483647;true;2;17547;0.820966056;0;gaImplementation;0
BEST_EFFORT_GENETIC;ADULT;K_ANONYMITY;5;0;false;2147483647;0.2;0.4;0.8;0.05;0.2;10;100;true;true;300000;2147483647;true;3;377;0.729621238;0;gaImplementation;0
BEST_EFFORT_GENETIC;ATUS;K_ANONYMITY;5;0;false;2147483647;0.2;0.4;0.8;0.05;0.2;10;100;true;true;300000;2147483647;true;3;5936;0.900049031;0;gaImplementation;0
BEST_EFFORT_GENETIC;IHIS;K_ANONYMITY;5;0;false;2147483647;0.2;0.4;0.8;0.05;0.2;10;100;true;true;300000;2147483647;true;3;20465;0.820966056;0;gaImplementation;0
BEST_EFFORT_GENETIC;ADULT;K_ANONYMITY;5;0;false;2147483647;0.2;0.4;0.8;0.05;0.2;10;100;true;true;300000;2147483647;true;4;458;0.729621238;0;gaImplementation;0
BEST_EFFORT_GENETIC;ATUS;K_ANONYMITY;5;0;false;2147483647;0.2;0.4;0.8;0.05;0.2;10;100;true;true;300000;2147483647;true;4;6687;0.900049031;0;gaImplementation;0
BEST_EFFORT_GENETIC;IHIS;K_ANONYMITY;5;0;false;2147483647;0.2;0.4;0.8;0.05;0.2;10;100;true;true;300000;2147483647;true;4;19054;0.820966056;0;gaImplementation;0
BEST_EFFORT_GENETIC;ADULT;K_ANONYMITY;5;0;false;2147483647;0.2;0.4;0.8;0.05;0.2;10;100;true;true;300000;2147483647;true;5;232;0.729621238;0;gaImplementation;0
BEST_EFFORT_GENETIC;ATUS;K_ANONYMITY;5;0;false;2147483647;0.2;0.4;0.8;0.05;0.2;10;100;true;true;300000;2147483647;true;5;7016;0.900049031;0;gaImplementation;0
BEST_EFFORT_GENETIC;IHIS;K_ANONYMITY;5;0;false;2147483647;0.2;0.4;0.8;0.05;0.2;10;100;true;true;300000;2147483647;true;5;21351;0.820966056;0;gaImplementation;0
BEST_EFFORT_GENETIC;ADULT;K_ANONYMITY;5;0;false;2147483647;0.2;0.4;0.8;0.05;0.2;10;100;false;true;300000;2147483647;true;1;455;0.729621238;0;gaImplementation;1
BEST_EFFORT_GENETIC;ATUS;K_ANONYMITY;5;0;false;2147483647;0.2;0.4;0.8;0.05;0.2;10;100;false;true;300000;2147483647;true;1;8368;0.900049031;0;gaImplementation;1
BEST_EFFORT_GENETIC;IHIS;K_ANONYMITY;5;0;false;2147483647;0.2;0.4;0.8;0.05;0.2;10;100;false;true;300000;2147483647;true;1;12384;0.820966056;0;gaImplementation;1
BEST_EFFORT_GENETIC;ADULT;K_ANONYMITY;5;0;false;2147483647;0.2;0.4;0.8;0.05;0.2;10;100;false;true;300000;2147483647;true;2;347;0.729621238;0;gaImplementation;1
BEST_EFFORT_GENETIC;ATUS;K_ANONYMITY;5;0;false;2147483647;0.2;0.4;0.8;0.05;0.2;10;100;false;true;300000;2147483647;true;2;6237;0.900049031;0;gaImplementation;1
BEST_EFFORT_GENETIC;IHIS;K_ANONYMITY;5;0;false;2147483647;0.2;0.4;0.8;0.05;0.2;10;100;false;true;300000;2147483647;true;2;17141;0.820966056;0;gaImplementation;1
BEST_EFFORT_GENETIC;ADULT;K_ANONYMITY;5;0;false;2147483647;0.2;0.4;0.8;0.05;0.2;10;100;false;true;300000;2147483647;true;3;472;0.729621238;0;gaImplementation;1
BEST_EFFORT_GENETIC;ATUS;K_ANONYMITY;5;0;false;2147483647;0.2;0.4;0.8;0.05;0.2;10;100;false;true;300000;2147483647;true;3;4699;0.900049031;0;gaImplementation;1
BEST_EFFORT_GENETIC;IHIS;K_ANONYMITY;5;0;false;2147483647;0.2;0.4;0.8;0.05;0.2;10;100;false;true;300000;2147483647;true;3;20881;0.820966056;0;gaImplementation;1
BEST_EFFORT_GENETIC;ADULT;K_ANONYMITY;5;0;false;2147483647;0.2;0.4;0.8;0.05;0.2;10;100;false;true;300000;2147483647;true;4;466;0.729621238;0;gaImplementation;1
BEST_EFFORT_GENETIC;ATUS;K_ANONYMITY;5;0;false;2147483647;0.2;0.4;0.8;0.05;0.2;10;100;false;true;300000;2147483647;true;4;6964;0.900049031;0;gaImplementation;1
BEST_EFFORT_GENETIC;IHIS;K_ANONYMITY;5;0;false;2147483647;0.2;0.4;0.8;0.05;0.2;10;100;false;true;300000;2147483647;true;4;17387;0.820966056;0;gaImplementation;1
BEST_EFFORT_GENETIC;ADULT;K_ANONYMITY;5;0;false;2147483647;0.2;0.4;0.8;0.05;0.2;10;100;false;true;300000;2147483647;true;5;299;0.729621238;0;gaImplementation;1
BEST_EFFORT_GENETIC;ATUS;K_ANONYMITY;5;0;false;2147483647;0.2;0.4;0.8;0.05;0.2;10;100;false;true;300000;2147483647;true;5;4968;0.900049031;0;gaImplementation;1
BEST_EFFORT_GENETIC;IHIS;K_ANONYMITY;5;0;false;2147483647;0.2;0.4;0.8;0.05;0.2;10;100;false;true;300000;2147483647;true;5;15923;0.820966056;0;gaImplementation;1
BEST_EFFORT_GENETIC;ADULT;K_ANONYMITY;5;0;false;2147483647;0.2;0.4;0.8;0.05;0.2;10;200;false;false;300000;2147483647;true;1;209;0.729621238;0;gaImplementation;2
BEST_EFFORT_GENETIC;ATUS;K_ANONYMITY;5;0;false;2147483647;0.2;0.4;0.8;0.05;0.2;10;200;false;false;300000;2147483647;true;1;5892;0.900049031;0;gaImplementation;2
